"filename", "language", "TypeScript", "SCSS", "HTML", "CSS", "JSON", "comment", "blank", "total"
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\configuration\models\configurationModel.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 4, 13
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\configuration\models\notificationAndSyncConfigurationModel.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 4, 15
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\configuration\services\configuration.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 1, 4, 17
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\configuration\services\configuration.service.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 8, 27
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\faculties\faculties-list\faculties-list.component.css", "CSS", 0, 0, 0, 6, 0, 0, 2, 8
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\faculties\faculties-list\faculties-list.component.html", "HTML", 0, 0, 37, 0, 0, 0, 12, 49
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\faculties\faculties-list\faculties-list.component.spec.ts", "TypeScript", 22, 0, 0, 0, 0, 1, 6, 29
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\faculties\faculties-list\faculties-list.component.ts", "TypeScript", 89, 0, 0, 0, 0, 0, 14, 103
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\faculties\faculty-form\faculty-form.component.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\faculties\faculty-form\faculty-form.component.html", "HTML", 0, 0, 77, 0, 0, 0, 22, 99
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\faculties\faculty-form\faculty-form.component.spec.ts", "TypeScript", 22, 0, 0, 0, 0, 1, 6, 29
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\faculties\faculty-form\faculty-form.component.ts", "TypeScript", 187, 0, 0, 0, 0, 0, 18, 205
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\faculties\faculty-form\study-programme-popup\study-programme-popup.component.html", "HTML", 0, 0, 28, 0, 0, 0, 6, 34
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\faculties\faculty-form\study-programme-popup\study-programme-popup.component.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 5, 32
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\faculties\models\facultyGridModel.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 4, 21
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\faculties\models\facultyModel.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 8, 41
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\faculties\models\studyProgrammeModel.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 5, 28
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\faculties\services\faculties.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 1, 4, 17
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\faculties\services\faculties.service.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 7, 31
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\home\home.component.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\home\home.component.html", "HTML", 0, 0, 16, 0, 0, 0, 3, 19
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\home\home.component.spec.ts", "TypeScript", 22, 0, 0, 0, 0, 1, 6, 29
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\home\home.component.ts", "TypeScript", 77, 0, 0, 0, 0, 0, 10, 87
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\home\models\facultyAttendanceModel.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 2, 6
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\home\models\homeDataModel.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 3, 8
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\home\services\home.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 1, 4, 17
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\home\services\home.service.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 7, 22
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\notificationHistories\models\notificationHistoryModel.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 3, 11
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\notificationHistories\notificationHistories.component.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\notificationHistories\notificationHistories.component.html", "HTML", 0, 0, 35, 0, 0, 0, 12, 47
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\notificationHistories\notificationHistories.component.spec.ts", "TypeScript", 22, 0, 0, 0, 0, 1, 6, 29
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\notificationHistories\notificationHistories.component.ts", "TypeScript", 93, 0, 0, 0, 0, 0, 13, 106
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\notificationHistories\services\notificationHistory.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 1, 4, 17
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\notificationHistories\services\notificationHistory.service.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 7, 37
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\notifications\models\notificationRuleDataModel.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 4, 10
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\notifications\models\notificationRuleModel.ts", "TypeScript", 40, 0, 0, 0, 0, 0, 8, 48
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\notifications\notificationRules\notificationRules.component.css", "CSS", 0, 0, 0, 15, 0, 0, 4, 19
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\notifications\notificationRules\notificationRules.component.html", "HTML", 0, 0, 94, 0, 0, 0, 17, 111
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\notifications\notificationRules\notificationRules.component.spec.ts", "TypeScript", 22, 0, 0, 0, 0, 1, 6, 29
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\notifications\notificationRules\notificationRules.component.ts", "TypeScript", 135, 0, 0, 0, 0, 0, 17, 152
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\notifications\services\notificationData.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 1, 4, 17
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\notifications\services\notificationData.service.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 9, 40
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\seeOwnAttendance\models\attendanceFilterModel.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 3, 14
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\seeOwnAttendance\models\attendanceStatisticsModel.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 4, 11
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\seeOwnAttendance\models\dayStatisticsModel.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 2, 6
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\seeOwnAttendance\models\subjectStatisticsModel.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 4, 10
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\seeOwnAttendance\seeOwnAttendance.component.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\seeOwnAttendance\seeOwnAttendance.component.html", "HTML", 0, 0, 69, 0, 0, 0, 16, 85
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\seeOwnAttendance\seeOwnAttendance.component.spec.ts", "TypeScript", 22, 0, 0, 0, 0, 1, 6, 29
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\seeOwnAttendance\seeOwnAttendance.component.ts", "TypeScript", 113, 0, 0, 0, 0, 0, 9, 122
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\seeOwnAttendance\services\seeOwnAttendance.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 1, 4, 17
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\seeOwnAttendance\services\seeOwnAttendance.service.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 6, 22
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\studentAttendances\models\studentAttendanceDataModel.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 5, 18
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\studentAttendances\models\studentAttendanceEditDataModel.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 4, 17
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\studentAttendances\models\studentAttendanceGridModel.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 3, 23
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\studentAttendances\models\studentAttendanceModel.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 3, 26
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\studentAttendances\models\studentShortModel.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 3, 20
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\studentAttendances\services\student-attendances.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 1, 4, 17
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\studentAttendances\services\student-attendances.service.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 9, 34
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\studentAttendances\student-attendance-form\student-attendance-form.component.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\studentAttendances\student-attendance-form\student-attendance-form.component.html", "HTML", 0, 0, 38, 0, 0, 0, 11, 49
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\studentAttendances\student-attendance-form\student-attendance-form.component.spec.ts", "TypeScript", 22, 0, 0, 0, 0, 1, 6, 29
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\studentAttendances\student-attendance-form\student-attendance-form.component.ts", "TypeScript", 81, 0, 0, 0, 0, 0, 11, 92
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\studentAttendances\student-attendances-list\student-attendances-list.component.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\studentAttendances\student-attendances-list\student-attendances-list.component.html", "HTML", 0, 0, 45, 0, 0, 0, 13, 58
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\studentAttendances\student-attendances-list\student-attendances-list.component.spec.ts", "TypeScript", 22, 0, 0, 0, 0, 1, 6, 29
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\studentAttendances\student-attendances-list\student-attendances-list.component.ts", "TypeScript", 106, 0, 0, 0, 0, 0, 14, 120
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\students\models\studentDataModel.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 5, 18
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\students\models\studentGridModel.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 3, 29
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\students\models\studentModel.ts", "TypeScript", 47, 0, 0, 0, 0, 0, 10, 57
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\students\services\students.service.spec.ts", "TypeScript", 12, 0, 0, 0, 0, 1, 4, 17
"c:\Users\lomas\Desktop\Бака\system-for-students-attendance-monitoring\ClientSide\src\app\pages\students\services\students.service.ts", "TypeScript", 58, 0, 0, 0, 0, 1, 11, 70
